x1,x2,models,n,dist
-0.0200000000000555,0.259999999999945,KDE,1000,chisq
-0.0761691681978777,0.308815062711144,OLS,1000,chisq
-0.117073650281143,0.690733263857116,ologit,1000,chisq
-0.0772020107793377,0.394713832444601,oprobit,1000,chisq
-0.107138838439082,0.306231544041902,KS,1000,chisq
-0.08,0.310000000000056,KDE,1000,chisq
-0.00608936733457017,0.223275504166148,OLS,1000,chisq
-0.00895370199573151,0.538134361331786,ologit,1000,chisq
-0.00153684171855765,0.3007587170832,oprobit,1000,chisq
0.0433464338044049,0.222978433905332,KS,1000,chisq
-0.01,0.22,KDE,1000,chisq
-0.0324085855019043,0.254453881991586,OLS,1000,chisq
-0.077634560937695,0.605348092062982,ologit,1000,chisq
-0.042665317750961,0.323380126111643,oprobit,1000,chisq
-0.0726498476756336,0.242035007915146,KS,1000,chisq
-0.0299999999999445,0.250000000000056,KDE,1000,chisq
